Type,OutputSize,FileType,ColorSpace,RotationAngle,ReliabilityLevel,UseAutoReliabilityLevel,PixelRoundness,PixelColorType,BackgroundColorType,BackgroundColor,PixelColorStart,PixelColorEnd,GradientAngle,IconPath,IconLockToSquares,IconSizePercent,IconBorderType,IconBorderPercent,IconBorderSquareCornerSize,IconBorderColor,BottomText,BottomTextSize,BottomTextColor,BottomTextFont,BottomTextFontStyle,SafeZonePercent,SafeZoneColor,Content,FileName
URL,1024,PNG,RGB,0,High,Yes,0.0,Solid,Solid,#FFFFFF,#000000,#000000,0,Discogs_record_icon.svg,Yes,100,Square,20,20,#FFFFFF,Aphex Twin – Collapse EP [2018],31,#000000,Roboto,Bold,5,#FFFFFF,https://www.discogs.com/release/12512500,12512500
URL,1024,PNG,RGB,0,High,Yes,0.0,Solid,Solid,#FFFFFF,#000000,#000000,0,Discogs_record_icon.svg,Yes,100,Square,20,20,#FFFFFF,Aphex Twin – Peel Session 2 TX 10/04/95 [2019],31,#000000,Roboto,Bold,5,#FFFFFF,https://www.discogs.com/release/14391015,14391015
URL,1024,PNG,RGB,0,High,Yes,0.0,Solid,Solid,#FFFFFF,#000000,#000000,0,Discogs_record_icon.svg,Yes,100,Square,20,20,#FFFFFF,Aphex Twin – Blackbox Life Recorder 21f / In A Room7 F760 [2023],31,#000000,Roboto,Bold,5,#FFFFFF,https://www.discogs.com/release/27636432,27636432
URL,1024,PNG,RGB,0,High,Yes,0.0,Solid,Solid,#FFFFFF,#000000,#000000,0,Discogs_record_icon.svg,Yes,100,Square,20,20,#FFFFFF,Arcade Fire – Arcade Fire [2018],31,#000000,Roboto,Bold,5,#FFFFFF,https://www.discogs.com/release/11861650,11861650
URL,1024,PNG,RGB,0,High,Yes,0.0,Solid,Solid,#FFFFFF,#000000,#000000,0,Discogs_record_icon.svg,Yes,100,Square,20,20,#FFFFFF,Boards Of Canada – Peel Session TX 21/07/98 [2019],31,#000000,Roboto,Bold,5,#FFFFFF,https://www.discogs.com/release/14403628,14403628
URL,1024,PNG,RGB,0,High,Yes,0.0,Solid,Solid,#FFFFFF,#000000,#000000,0,Discogs_record_icon.svg,Yes,100,Square,20,20,#FFFFFF,Burial – Antidawn [2022],31,#000000,Roboto,Bold,5,#FFFFFF,https://www.discogs.com/release/21746524,21746524
URL,1024,PNG,RGB,0,High,Yes,0.0,Solid,Solid,#FFFFFF,#000000,#000000,0,Discogs_record_icon.svg,Yes,100,Square,20,20,#FFFFFF,Burial – Streetlands [2023],31,#000000,Roboto,Bold,5,#FFFFFF,https://www.discogs.com/release/25701055,25701055
URL,1024,PNG,RGB,0,High,Yes,0.0,Solid,Solid,#FFFFFF,#000000,#000000,0,Discogs_record_icon.svg,Yes,100,Square,20,20,#FFFFFF,DJ Shadow – What Does Your Soul Look Like [1995],31,#000000,Roboto,Bold,5,#FFFFFF,https://www.discogs.com/release/3467,3467
URL,1024,PNG,RGB,0,High,Yes,0.0,Solid,Solid,#FFFFFF,#000000,#000000,0,Discogs_record_icon.svg,Yes,100,Square,20,20,#FFFFFF,Drums Are For Parades – Imperivm [2012],31,#000000,Roboto,Bold,5,#FFFFFF,https://www.discogs.com/release/3471972,3471972
URL,1024,PNG,RGB,0,High,Yes,0.0,Solid,Solid,#FFFFFF,#000000,#000000,0,Discogs_record_icon.svg,Yes,100,Square,20,20,#FFFFFF,Gorillaz – Tomorrow Comes Today [2025],31,#000000,Roboto,Bold,5,#FFFFFF,https://www.discogs.com/release/34305388,34305388
URL,1024,PNG,RGB,0,High,Yes,0.0,Solid,Solid,#FFFFFF,#000000,#000000,0,Discogs_record_icon.svg,Yes,100,Square,20,20,#FFFFFF,Jerboa – Au Cinema [2003],31,#000000,Roboto,Bold,5,#FFFFFF,https://www.discogs.com/release/1806985,1806985
URL,1024,PNG,RGB,0,High,Yes,0.0,Solid,Solid,#FFFFFF,#000000,#000000,0,Discogs_record_icon.svg,Yes,100,Square,20,20,#FFFFFF,Kae Tempest – Nice Idea [2023],31,#000000,Roboto,Bold,5,#FFFFFF,https://www.discogs.com/release/26843015,26843015
URL,1024,PNG,RGB,0,High,Yes,0.0,Solid,Solid,#FFFFFF,#000000,#000000,0,Discogs_record_icon.svg,Yes,100,Square,20,20,#FFFFFF,Khruangbin – Texas Sun [2020],31,#000000,Roboto,Bold,5,#FFFFFF,https://www.discogs.com/release/14753413,14753413
URL,1024,PNG,RGB,0,High,Yes,0.0,Solid,Solid,#FFFFFF,#000000,#000000,0,Discogs_record_icon.svg,Yes,100,Square,20,20,#FFFFFF,Khruangbin – Texas Moon [2022],31,#000000,Roboto,Bold,5,#FFFFFF,https://www.discogs.com/release/22185265,22185265
URL,1024,PNG,RGB,0,High,Yes,0.0,Solid,Solid,#FFFFFF,#000000,#000000,0,Discogs_record_icon.svg,Yes,100,Square,20,20,#FFFFFF,"Kurt Vile – Speed, Sound, Lonely KV (ep) [2021]",31,#000000,Roboto,Bold,5,#FFFFFF,https://www.discogs.com/release/16923939,16923939
